text,label
"Urgent: verify your PayPal account now or it will be suspended.",1
"Team standup is scheduled for 3 PM. Please review the agenda.",0
"Security alert: confirm your Microsoft 365 login details immediately.",1
"The quarterly budget document is ready for review by the finance team.",0
"Your Google Workspace account requires verification. Click the secure link to continue.",1
"Please find the project status update attached for tomorrow's planning meeting.",0
"Action required: update your online banking payment information to avoid closure.",1
"Your calendar reminder for the client meeting has been updated.",0
"We detected unusual activity on your PayPal account. Verify your identity today.",1
"The office will be closed on Friday for scheduled maintenance.",0
"Final notice: your Microsoft 365 access will expire unless you confirm your details.",1
"Please review the draft report and send your comments by Thursday afternoon.",0
"Your reward is waiting. Sign in to your PayPal account to claim the prize.",1
"The development team completed the sprint review and shared the notes.",0
"Important billing notice: review your Google Workspace payment details immediately.",1
"Your invoice for the completed consulting work is available in the internal portal.",0
"Password reset requested for your online banking account. Confirm the request now.",1
"The training session begins at 10 AM. Please bring your notebook.",0
"Your account has been flagged. Complete security verification urgently.",1
"The team lunch has been moved to Friday. The updated invitation is on the calendar.",0
"Failure to respond today may result in permanent account suspension.",1
"Please approve the purchase request through the normal internal workflow.",0
"Immediate action required: confirm your account credentials to prevent suspension.",1
"The monthly operations report is ready for management review.",0
"Security team notice: validate your password through the account verification page.",1
"The engineering meeting notes are available in the shared project folder.",0
"Urgent payment warning: update your billing profile before service is disabled.",1
"Please review the updated employee handbook before next week's training.",0
"Your mailbox is over quota. Sign in now to keep receiving messages.",1
"The customer support team will hold its weekly planning call tomorrow.",0
"Confirm your identity today to restore access to your online account.",1
"Your requested document has been added to the shared drive for review.",0
"You have an outstanding reward. Verify your details to release the payment.",1
"The project milestone review is scheduled for Wednesday afternoon.",0
"Unusual login detected. Review the security alert and confirm your account.",1
"Please send the revised spreadsheet to the finance team before the deadline.",0
"Final security notice: failure to verify may lock your account.",1
"The IT maintenance window has been scheduled for Saturday evening.",0
"Your subscription payment failed. Update card information immediately.",1
"The product team shared the latest release notes for internal review.",0
"Claim your exclusive reward by confirming your account information.",1
"The office access schedule has been updated for the upcoming holiday.",0
"Verify your account now to avoid immediate service interruption.",1
"The meeting room reservation has been confirmed for the client workshop.",0
"Urgent: your account requires immediate security verification.",1
"The finance team published the revised expense policy.",0
"Click the verification link to prevent your account from being disabled.",1
"Please review the attached project timeline before the next meeting.",0
"Your payment profile needs urgent confirmation to avoid account closure.",1
"The weekly development report has been uploaded to the project folder.",0
"Security warning: confirm your password immediately.",1
"Please send your feedback about the new internal documentation.",0
"Your account will be locked unless you verify your identity today.",1
"The scheduled network maintenance begins at midnight Saturday.",0
"Verify your billing details immediately to keep your service active.",1
"The client presentation has been moved to Wednesday morning.",0
"Your security verification is incomplete. Confirm your account now.",1
"The HR team shared the updated holiday calendar.",0
"Urgent account notice: confirm your login credentials to prevent suspension.",1
"The software testing report is ready for the QA team.",0
"Your payment information has expired. Update it immediately.",1
"The project retrospective will take place after Friday's standup.",0
"Confirm your account details or your online access will be removed.",1
"The internal training materials are available in the shared directory.",0
"You must verify your identity before your account can remain active.",1
"The operations team completed the monthly service review.",0
"Important: your account security check requires immediate action.",1
"The design team uploaded the latest interface mockups.",0
"Your reward claim is pending. Verify your account to receive it.",1
"The customer meeting notes have been added to the shared folder.",0
"Your account has unusual activity. Confirm your password now.",1
"The development sprint begins Monday morning.",0
"Your online banking access requires urgent verification.",1
"The procurement request has been approved by the finance department.",0
"Update your account information immediately to avoid service suspension.",1
"The product roadmap has been circulated for internal feedback.",0
"Your email account will be closed unless you confirm your identity.",1
"The quarterly security training is scheduled for next week.",0
"Confirm your payment information to prevent account termination.",1
"The project documentation has been updated with the latest requirements.",0
"Your password must be verified immediately due to a security alert.",1
"The weekly team meeting will begin at 9 AM.",0
"Final warning: verify your account before access is permanently disabled.",1
"The new employee onboarding checklist is available.",0
"Unusual activity was detected. Click the link to verify your account.",1
"The database maintenance report has been completed.",0
"Your account verification expires today. Confirm your information now.",1
"The engineering team has completed the deployment review.",0
"Urgent billing alert: confirm your payment details immediately.",1
"The customer support schedule has been updated.",0
"Your account is at risk of suspension. Verify your credentials now.",1
"The office evacuation drill is scheduled for Thursday.",0
"Security verification required: confirm your login details.",1
"The project budget has been approved for the next quarter.",0
"Your account has been selected for a security review. Verify immediately.",1
"The team has published the agenda for tomorrow's workshop.",0
"Update your banking information now to avoid account closure.",1
"The annual performance review process begins next month.",0
"Your access has been temporarily restricted. Confirm your identity to restore it.",1
"The latest customer feedback report is ready for review.",0
"Click here to verify your account before the deadline expires.",1
"The infrastructure team completed the scheduled maintenance.",0
"Your subscription will be cancelled unless you update your payment details.",1
"The release candidate is ready for testing.",0
"Immediate verification is required to keep your account active.",1
"The department meeting notes have been distributed.",0
"Your security alert requires password confirmation today.",1
"The finance department will publish the monthly report tomorrow.",0
"Confirm your account now to prevent permanent suspension.",1
"The new project repository has been created for the development team.",0
"Your payment account requires urgent verification.",1
"The customer workshop materials are ready.",0
"Your mailbox requires immediate verification to avoid deactivation.",1
"The team has finalized the implementation schedule.",0
"Verify your identity now because your account has been flagged.",1
